id,new,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
keyb_lay,,KEYB layouts,Dispositions de clavier pour KEYB,,"keyb,agencements",,DOS,"GNU General Public License, Version 2",dce8e98517e4c862c74e1212a6ef6a329ff12e7e4f3ea6f4cc71fbe6a611c082
kiloblas,,Kiloblaster,Kiloblaster est un jeu d'arcade rapide de tir dans l'espace,,,,DOS,Kiloblaster and Xargon Freeware License,0078b069f2dd6f2047a2be280ab8edc3cb2778c90ca4b3086484a5d7c6df727f
kraptor,,KRaptor,Kraptor est un jeu libre complet similaire à Raptor avec plusieurs niveaux.,,"raptor, jeu, tir",,"DOS, Win32, Linux",MIT license,0343be7a7caf2a93b76f41a08e74784ad75cb765174a8a3d6d9b041669e49714
label,,LABEL,Définit ou modifie le libellé du volume de disque,,"étiquette, volume de disque",,"DOS, FreeDOS","GNU General Public License, Version 2",2c33c9a08b8fc5c38fb66b45507c54c4e652b2a70d2c5f83531e27ec51255a26
lame,,LAME,"Utilitaires pour manipuler les fichiers de musique MP3, y compris la conversion vers d'autres formats et la décompression vers le format .WAV.",,"mp3, lame, convertir, audio, wav",,"DOS, POSIX, Win32","GNU General Public License, Version 2",666059370a391dbb958941f80d201980e1a8432d136834e792911540a5d920ab
lbacache,,LBACACHE,"Tampon disque, met en tampon ce qui est lu pour les disques durs max 8 CHS / LBA et les disquettes, XMS, 386 ou mieux - tickle est fourni avec lbacache !",,"cache, smartdrv, nwcache",,"DOS 386+ (nasm assembler), FreeDOS","GNU General Public License, Version 2",29215239007e2208ffbefec7967eae45b6d101f1b9cf2c844bdee347ca261a16
ldebug,*,lDebug,advanced debugger based on FreeDOS Debug,"features DPMI client support for 32-bit and 16-bit segments, a 686-level assembler and disassembler, an expression evaluator, an InDOS and a bootloaded mode, script file reading, serial port I/O, permanent breakpoints, conditional tracing, buffered tracing, and auto-repetition of some commands.","debug, debugger, DPMI debugger, bootable debugger",,DOS (crosscompile from Linux with NASM and C compiler),"Open source, see LICENSE.TXT",7a77415447b21761c11cd605e085f111e82a25962fe2a8fc885a7281c94b8eed
less,,less,"Less est un programme similaire à more, mais qui permet le déplacement à rebours dans le fichier aussi bien que le déplacement vers l'avant. Aussi, less n'a pas à lire toute l'entrée avant de démarrer, donc avec de fichiers d'entrée imposants il démarre plus vite que les éditeurs de texte comme vi.",,"less,more,pager",,DOS,Simplified (2-Clause) BSD License,3c4c43b953bcff965037a21338bd0e4f604df1d7be72e41449854593a6703db0
lfndos,,LFNDOS,"Fournit l'API de noms de fichier longs Windows 95 aux programmes DOS. Tout programme DOS pouvant utiliser des noms de fichiers longs, par exemple DOS 7 Command.com, edit.com et tous les programmes DJGPP, peut les charger et les enregistrer avec LFNDOS. Conçu pour les utilisateurs Win95 utilisant le mode DOS, bien qu'il fonctionne également sous les versions DOS anciennes.",,"nom de fichier long, lfn",,"DOS, FreeDOS","GNU General Public License, Version 2",fd4e8f60f1bbd1d5840392b65703861831a69a274fb199ae80755d7e5829a404
lha,,LHa for unix,Gestionnaire d'archives fonctionnant avec les archives LHA/LZH,,"LHA,LHZ,gestionnaire d'archive",,DOS,"Open Source, see license.txt",48faa933e1d5dd30173b0bf362a20d70427ab06edd385c4e5c44e8a980005e9f
lincrawl,,Linley's Dungeon Crawl,"Un jeu amusant dans la grande tradition de jeux comme Rogue, Hack et Moria.",,,,"DOS, AmigaOS, MacOS, OS/2, Windows, GNU/Linux",Crawl General Public License,7efe420bbbe9981295cafe197078c821e0845f6bf1e0d35e39c892b7d7f0d313
links,,Links,Links est un navigateur WWW textuel et graphique similaire à Lynx.,,"www, navigateur, Internet",,"DOS, FreeDOS","GNU General Public License, Version 2",e990bbdb74f6181f74d95a63387277e8d26baaa877776b4464c516b4900c0843
liquiwar,,Liquid War,Un wargame multijoueurs unique.,,,,"DOS, Windows, GNU/Linux, FreeBSD, Mac OS X","GNU General Public License, Version 2",427f5e8f4d3c499e46bc938bf340247868aaca9bb627271ef14c57e29bd53533
localcfg,,localcfg,Outil de configuration des préférences locales,,country.sys,,DOS,Simplified (2-Clause) BSD License,45352cef39e298a2b854a1a6c35e32eff61b9f06933ff0f84955fac6ad94d7e2
localize,,Localize,Traduire des textes,,freedos localiser batch,,dos,"GNU General Public License, Version 2",af051b5675b53f552ea4c8711fef7e6f18f0b06a65fdc71388601af7a0b99381
lpq1,,LPQ1,lpq1 est un compresseur de fichiers et un créateur d'archives,,"compresseur, lpq1",,DOS,"GNU General Public License, Version 3",ec03a189150aebd8e39164a4d2238bd9fc7de778d78ecdcc857d5c7cc59171e6
lptdrv,,LPT Driver,un outil pour contrôler les appareils connectés à LPT manuellement ou en fonction  du temps,,LPT,,DOS,Simplified (2-Clause) BSD License,1b9d026dcd6a60f530c2925405b64538dee445c2f3a8e269184e297c32944e68
lua,,Lua,Lua est un langage de script incorporable,,lua,,DOS,MIT license,c8c6cd860edec736776bfa42e468a9324594b896b7be1a952b37b01656b6d56c
lynx,,Lynx,Navigateur WWW textuel et graphique Lynx (portage DJGPP),,"www, navigateur, Internet",,"DOS, FreeDOS","GNU General Public License, Version 2",5942fa4828c61aac25c4e820821e6a0eceb5b5dedd79ac9e8813031c1a385bf9
lzip,,Lzip,Un compresseur de données basé sur l'algorithme LZMA.,,"command.com, shell, interactif",,DOS,"GNU General Public License, Version 3",224a43494e7adb6ec8a2074037da0e4e37c121a219987272440530d8e1adfecf
lzma,,LZMA Utils,Fonctionne avec les fichiers compressés avec .lzma (différent de 7-zip),,lzma,,"DOS/DJGPP, Unix, Windows","GNU General Public License, Version 2",f12f446dfdb2b8d3d9cd093b8494bfce86f98f59abccdd9b6105324256ce6924
lzop,,lzop,"un compresseur similaire à gzip, qui donne la priorité à la vitesse plutôt qu'au taux de compression",,"lzop, compression",,DOS,"GNU General Public License, Version 2",6fead55a0b3757acbc05e333384d3aad2c5021fddfe9fdb3b92870f097fc17bb
