id,new,title,description,summary,keywords,platforms,copying-policy,sha
mkeyb,,MKEYB,"Sehr kleiner Tastaturtreiber, 500-700 Bytes resident.",,freedos keyboard Tastatur,DOS,"GNU General Public License, with exceptions",2aca837451d6ef10e56a0c0fe4c2b523b5f0ae2c63ce47bf2739799d309df364
mode,,mode,Stellt den Modus der GerÑte ein.,,"freedos, mode, display",DOS,"GNU General Public License, Version 2",02dec6ac346d20323b8dabb78ac745ec938846a3f33be5eef90907cd2e127bff
more,,more,Zeigt den Inhalt einer Textdatei Seite fÅr Seite an.,,"freedos, more",DOS *erfordert KITTEN,"GNU General Public License, Version 2",ba87a83d12fd5efbfcf5b20b0c7403ed83ed8d81f5bf828990a0a0f2e043ea3f
mouskeys,,MouseKeys,Verwenden Sie eine Maus mit einem beliebigen Programm.,,"DOS, games, Spiele",DOS,"Freeware, see documentation",1fbab081af5e16def3a668c6933101d14b972ef54ae59c1db0f5d7568f4f21bf
move,,Move,Verschiebt Dateien.,,"freedos, move",DOS,"GNU General Public License, Version 2",927ccfddaf53e69935cf0c06b8bb6d8d77d401457aa817d34fb662409daa1e48
mplayer,,MPlayer,"Mplayer ist ein Movie-Player, der von Linux auf DOS portiert wurde.",,"multimedia,video,player",DOS,"GNU General Public License, Version 2",b40178114f03f20d533312881b30f7d431e8a6c8d56291313100a5f77540f029
mpxplay,,Mpxplay,"Spielt Audio mit seinen eigenen modernen integrierten Soundkartentreibern: AAC, AC3, APE, FLAC, MP2/MP3, MPC, OGG (VORBIS), WMA, WAV, WV, CDW. (DOS/32a Version).",,"mp3, ogg, vorbis, wav, music, speaker, sound, blaster","DOS 5+ (OpenWatcom 1.9), Win32 (console)",Source code available (open),0959222f39ec42f76b4e9707cf456ea1675a67be6be09d598e725164af7cab65
msa,,MSA,x86 Assembler fÅr DOS.,"MSA ist ein x86-Assembler, der alle 8086-Befehle und die meisten der 80186/80286-Befehle unterstÅtzt. MSA gibt einfache BinÑrausgabedateien (.COM) aus. Robert Ostling hat seinen MSA-Assembler als Open-Source-Software unter der MIT-Lizenz verîffentlicht. Robert hat MSA in C mit Borland C++ 2.0 geschrieben, glaubt aber, dass es nicht schwer sein wird, es auf andere Compiler zu portieren.","assembler, asm, msa",DOS,MIT License,cd0bf52e7f2a5fd44e6fb6a12ed1e91b26dc4f7f28d267e7049e7bc5c084c6b4
msedit,,MSEDIT,Mateusz' Saucy (frecher) Editor.,,text editor,DOS,"GNU General Public License, Version 2",06902e0b485642af1afd6a31a556ca2c4628ef4d999c6bb06cc2e2828b91f12a
mskermit,,MSKERMIT,Kommunikationssuite der University of Columbia.,"Das MS-DOS Kermit Kommunikationssoftwarepaket fÅr IBM PCs und kompatible GerÑte bietet eine Reihe von Terminalemulationen, seriellen und Netzwerkkommunikationsmethoden, internationalen Zeichenkonvertierungen, Skriptprogrammiersprache und Kermit-DateiÅbertragung.","serial,comm,terminal,filetransfer",DOS,Revised 3-Clause BSD License,314dc8257f0347f2ad20bcd4a881da074641b9a9154f38ee5529ba4878d4616d
mtcp,,mTCP,"Eine UPX-komprimierte Sammlung von TCP/IP Tools fÅr 16 Bit DOS: DHCP, IRC, FTP, Telnet, Netcat, HTGet, Ping, SNTP.",,dos tcp/ip realmode dhcp ftp telnet htget irc ircjr netcat sntp ping opensource 16 bit Netzwerk,DOS,"GNU General Public License, Version 3",0b6bafc58374e276f8f1b8c4654968b95cbbb2861536e10f642d1a99f9555091
nansi,,Nansi,Ein ANSI-Treiber fÅr DOS.,,"freedos, nansi, ansi",DOS,"GNU General Public License, Version 2",f75ee06ae9fd66a9a7bbcede1a8f9f3a3c79b874380374a777c6f4f92904c643
nasm,,Nasm,Der Netwide Assembler (UPX-komprimiert).,"Der Netwide Assembler, NASM ist ein 80x86 sowie x86-64 Assembler, entwickelt mit Augenmerk auf PortabilitÑt und ModularitÑt. Er kann mit einer Reihe von Objekt-Formaten umgehen, wie z.B. Linux und BSD a.out, ELF, COFF, Macho-O, 16/32Bit OBJ (OMF), Win32 und Win64. Er kann auch einfache BinÑrdateien ausgeben, Intel Hex und Motorola S-Rec. Die Syntax wurde entwickelt im Hinblick auf Einfachheit und einfaches Verstehen, Ñhnlich der Syntax, die das Intel Software Developer Manual benutzt. Er unterstÅtzt alle zur Zeit bekannten x86-Extensions und hat guten Macro-Support.","NASM, asm, assembler, assembly",DOS,Simplified (2-Clause) BSD License,2a0d1535323454ddc629ffbdd4c48c21d02ae2a0eb378e21dde95507b84d0d7b
nethack,,NetHack,Ein Single Player Dungeon Spiel.,,"Dungeon, single player, games, Spiele","DOS, Windows, GNU/Linux, OS/2, Mac, Amiga, Atari",NetHack General Public License,55a54c50a96b73138ec5847f0378b341966f657522acf57d78b036bc33b54e86
newsnuz,,NewSNUZ,"Usenet (NNTP) Leseprogramm, basiert auf WATTCP.",,"nntp,usenet",DOS,Public Domain,547cb2e18049c74a5fad69340e659aec3cf73fb89e3354ad57cd7394bf8e2ba0
nge_nibb,,NGE Nibbles,"Ein Klon von Nibbles, einem alten Arcade-Spiel.",,"nibbles, games, Spiele","DOS, FreeDOS","GNU General Public License, Version 2",d1cdef6b013b1904b618d11b804038ed4f7f0d2736246c8408b6730817dd21a0
nlsfunc,,NLSFunc,NLSFUNC fÅgt National Language Support hinzu.,,"freedos, nls, country, display, mode",DOS (NASM),"GNU General Public License, Version 2",5b62b6d6c77fc77e5d31e354c9ec41e9232fe084e9c9d202631dba218ed514ad
noise,,Noise,GerÑtetreiber fÅr Zufallszahlengenerator.,,DOS random driver,DOS,"BSD, 3-Clause License",4351aa337487345a47e47bbf347730024abba909de3b1f2a966c38d07ae2354b
