id,new,title,description,summary,keywords,platforms,copying-policy,sha
vgapal,*,VGAPAL,VGA Text Mode Color Palette Utility,,dos 16 bit,,MIT License,
ww1,*,Word Whiz Volume 1,A text based trivia game.,,,,"GNU General Public License, Version 2",
xargon,*,Xargon,side-scrolling platform game similar to Jill of the Jungle,,,,Kiloblaster and Xargon Freeware License,
xcdrom,*,XCDROM,UDMA and non-UDMA CD-ROM driver for DOS,,"Ultra DMA, DOS, CD-ROM, CDROM, XCDROM",,Free no sources,
xdma,*,XDMA,UDMA driver for DOS: up to 4 unlimited size hard drives,,"Ultra DMA,Ultra ATA,Bus Master,IDE,ATA,VDS,DMA,CHS,EDD,LBA,XMS",,"GNU Genreal Public License, version 2 or later",
xdp,*,XD Pascal,small educational Pascal compiler,"XD Pascal is a small educational compiler for a subset of the Pascal language. A native x86 machine code generator directly emits COM executables for MS-DOS. The compiler supports VGA graphics, floating-point arithmetic, etc. 32-bit Pascal source is provided. Requires Win-32. See the XDPC fork.",pas turbo pascal xdp xdpc,,Public Domain,
xdpc,*,XDPC Pascal Compiler,small educational Pascal compiler,"XDPC is a small educational compiler for a subset of the Pascal language. A native x86 machine code generator directly emits EXE executables for MS-DOS. The compiler supports VGA graphics, floating-point arithmetic, etc. 32-bit Pascal source is provided.",pas turbo pascal xdp xdpc,,MIT-0 (Public Domain),
yapcbr,*,Yet Another PC Bridge,layer 2 bridge for packet drivers (turns a PC into a switch),"This bridge belongs to the class of Self Learning Transparent bridges. You can use any Ethernet cards (or a mix of cards from different vendors) for this bridge. All you need to have is the appropriate packet drivers for these cards. Packet drivers for most of the ethernet cards are in public domain and can be obtained from crynwr.com. This bridge can be set up using a PC or AT (hard disk is not necessary, a floppy drive is sufficient) running MSDOS ver 3.0 or higher. This is not a spanning tree bridge and hence cannot detect loops in network paths.",bridge,,"GNU General Public License, Version 1",
yasm,*,Yasm,Yasm is a complete rewrite of the NASM assembler. (UPX Compressed),"Yasm is a complete rewrite of the NASM assembler under the ""new"" BSD License (some portions are under other licenses, see COPYING for details). Yasm currently supports the x86 and AMD64 instruction sets, accepts NASM and GAS assembler syntaxes, outputs binary, ELF32, ELF64, 32 and 64-bit Mach-O, RDOFF2, COFF, Win32, and Win64 object formats, and generates source debugging information in STABS, DWARF 2, and CodeView 8 formats. Yasm can be easily integrated into Visual Studio 2005/2008 and 2010 for assembly of NASM or GAS syntax code into Win32 or Win64 object files.","nasm, asm, gas, yasm, assembler, assembly, DJGPP, Visual Studio",,Simplified (2-Clause) BSD License and Revised (3-Clause) BSD License,

