id,new,title,description,summary,keywords,platforms,copying-policy,sha
dosmid,,DOSMid,"MIDI-spelare fîr mÜnga synthesizrar (AWE, MPU-401, OPL...)","DOSMid Ñr en MIDI- och MUS-spelare fîr DOS. Det Ñr en real mode-applikation designad fîr att kîra pÜ mycket smÜ hÜrdvarukonfigurationer. Den spelar standard MIDI-filer sÜ vÑl som MIDI i RIFF (d.v.s RMID) och MUS-lÜtar (anvÑnda av Id Software i flertalet spel, t.ex. Doom, Heretic, Hexen o.s.v.).","midi,mus,rmid,spelare",DOS,Simplified (2-Clause) BSD License,dfb5ed98369a798ab081cb2f02e2ddd13275088d086b6f42b0eab74645edb677
dosrifs,,DOSRIFS,Enhetsdelande TSR mellan tvÜ PC îver serielÑnk (enhetsmappning),,"tsr, enhet, nÑtverk",dos,Freeware w/sources,c35c52309380d0c52564339e5e5a01b5279fa02e05807104e7d0b5eddec48050
dosutil,,DOSUTIL,En samling smÜ verktyg fîr kommandofiler,,DOSUTILS SCRDUMP,,European Union Public License v1.1,a6dc7c0222b7c27065be2f44d68e604a9f012d23723d34446c519cc24ef9cafb
doszip,,Doszip Commander,En liten LFN-medveten filhanterare med inbyggd zip-uppackare. Den Ñr byggd med JWasm och OpenWatcom. Inkluderar fullstÑndig kÑllkod fîr DOS och Windows,,DOS FreeDOS,DOS WIN32,"GNU General Public License, Version 2",f9c4a581c74f6f0eac76d95cb09eb18e5051cc5a7c5b84da3c2be0e40159f93e
dpmione,,DPMIONE,DOS Protected Mode-grÑnssnitt (endast kÑllkod),,"extender, DPMI, DJGPP","DOS, FreeDOS","GNU General Public License, Version 3",480188e2609823b9686e8f4f386e9164463e5a93ed4b813c948b4f693c852a00
drmind,,Dr. Mind,Dr. Mind Ñr en PC-anpassaning av brÑdspelet Mastermind (TM).,Dr. Mind Ñr en PC-anpassning av ett vÑlkÑnt brÑdspel. Datorn genererar en hemlig fÑrgkod och spelar fîrsîker lista ut det exakta mînstret inom Ütta runor. Efter varje runda ger datorn ledtrÜdar om hur mÜnga fÑrger som matchade lîsningen. Spelet kommer med en uppsÑttning om 24 bilder som inledningsvid Ñr suddiga - varje gÜng du listar ut en giltig fÑrgkombination belînas du med en bild. Spelet publiceras under licensen CC BY-ND 4.0 vilken Ñr ungefÑr likvÑrdig med 'fri programvara med kÑllkor'. (paketerad fîr FreeDOS),"mind,mastermind,spel",DOS,Creative Commons Attribution-NoDerivatives 4.0 International Public License,fda8bf13a1e86288056a0d0dc13443fbf3213705db7978406d4fb8c50794189d
drmindlt,,Dr. Mind (Lite),Dr. Mind Ñr en PC-anpassning av brÑdspelet Mastermind (TM). Lite-versionen inkluderar inte bilder.,Dr. Mind Ñr en PC-anpassning av ett vÑlkÑnt brÑdspel. Datorn genererar en hemlig fÑrgkod och spelar fîrsîker lista ut det exakta mînstret inom Ütta runor. Efter varje runda ger datorn ledtrÜdar om hur mÜnga fÑrger som matchade lîsningen. Spelet kommer med en uppsÑttning om 24 bilder som inledningsvid Ñr suddiga - varje gÜng du listar ut en giltig fÑrgkombination belînas du med en bild. Spelet publiceras under licensen CC BY-ND 4.0 vilken Ñr ungefÑr likvÑrdig med 'fri programvara med kÑllkor'. (paketerad fîr FreeDOS),"mind,mastermind,spel",DOS,Creative Commons Attribution-NoDerivatives 4.0 International Public License,96a1f28318526de0b21837f16d40d27ff203c52ac36b16bde2007bfda72598ea
drvdiag,,Drive Diagnostics,En diagnostikverktyg fîr enheter fîr utvecklare.,"Detta Ñr inte ett program av checkdisk-typ. Det Ñr ett verktyg fîr utvecklare som hjÑlper till vid OS-, drivrutin- och programfelsîkning.",dos enhet,DOS,BSD 3-Clause License,e0f7f3738302031d403ce083f11340eb41ff08722bec70d3f4b7e54de33d3c89
drvexch,,DRVEXCH,TillÜter omtilldelning av enhetsbokstÑver under DOS,,"dos, enhet, vÑxla, spegling",DOS,'Modified' BSD License,d619d26fdb8126a9c46f5dd0a7cc096527aa3091762a9b86a8593e0eea50181a
du,,DU,"Visa diskanvÑndning, i stil med du under UNIX",,"du, visa diskanvÑndning","DOS, FreeDOS","GNU General Public License, Version 2",6e2adcbddac3411f2182e222decacc7dc58df9b2c3d0b0a7747962513bc995f0
dwed,,DosWorld,Textfilsredigerare och IDE fîr MS-DOS och 8086/88 CPU:er (PC pÜ IBM XT-nivÜ) designad i modern stil.,,"redigerare, pascal",DOS,MIT license,0a816dab23239d3c3c61cd9d8e3ab750d036c86ee11731ccb4838af88382939a
dwol,,DWOL,Ett litet verktyg som berÑknar och skickar wake-on-lan-paket,,dos nÑtverk,DOS,MIT license,b7c4f84b26b6ca48701609266f8c04eaec3247860f8c8c3360d0fe00b5d1a1d6
dzemm,,DZEMM,Doszip Utîkad minneshanterare (EMM),,DOS FreeDOS EMS XMS EMM,DOS WIN32,"GNU General Public License, Version 2",95e3f465bdf4a8af4878dc777974482228219131f7985b529fc4b33788be87a7
