id,new,title,description,summary,keywords,platforms,copying-policy,sha
lincrawl,,"Linley's Dungeon Crawl","Un jeu amusant dans la grande tradition de jeux comme Rogue, Hack et Moria.",,,"DOS, AmigaOS, MacOS, OS/2, Windows, GNU/Linux","Licencne publique gÇnÇrale Crawl",7efe420bbbe9981295cafe197078c821e0845f6bf1e0d35e39c892b7d7f0d313
links,,Links,"Navigateur WWW textuel et graphique similaire Ö Lynx","Links est un navigateur WWW textuel et graphique similaire Ö Lynx.","www, navigateur, Internet","DOS, FreeDOS","Licence publique gÇnÇrale GNU, version 2",e990bbdb74f6181f74d95a63387277e8d26baaa877776b4464c516b4900c0843
liquiwar,,"Liquid War","Un wargame multijoueurs unique.",,,"DOS, Windows, GNU/Linux, FreeBSD, Mac OS X","Licence publique gÇnÇrale GNU, version 2",427f5e8f4d3c499e46bc938bf340247868aaca9bb627271ef14c57e29bd53533
listpci,,ListPCI,"Affiche des informations sur les pÇriphÇriques PCI","ListPCI est un utilitaire pour lister les pÇriphÇriques PCI qui analyse le bus PCI du systäme sur lequel il fonctionne et affiche des donnÇes sur tous les pÇriphÇriques PCI qu'il trouve. Il fournit des donnÇes plus dÇtaillÇes que d'autres applications comparables et est plus flexible dans ses options de ligne de commande. En les utilisant, vous pouvez filtrer les pÇriphÇriques rapportÇs pour uniquement ceux d'un ID de vendeur spÇcifiÇ ou d'une classe donnÇe. ListPCI peut Çgalement retourner le nombre de pÇriphÇriques correspondant Ö la variable systäme ERRORLEVEL de DOS, rendant aisÇe son intÇgration dans des scripts batch.","pÇriphÇrique, liste, PCI",DOS,"GPLv2 avec le code source, aucune garantie",d650a348933a56d02f7a41567b0b2c0e5dc99768d8aedd0b763f7d6dea98eb8d
listvesa,,ListVESA,"Rapporte les modes vidÇo VESA pris en charge","ListVESA est un utilitaire servant Ö rapporter quels modes de vidÇo VESA sont pris en charge par le matÇriel du systäme. Vous pouvez utiliser les options de ligne de commande pour adapter les informations listÇes Ö un mode spÇcifique, aux modes prenant en charge une profondeur de bit de couleur spÇcifique, aux modes prenant en charge le tampon de cadre linÇaire ou bien pour des informations gÇnÇrales sur l'adaptateur vidÇo lui-màme sans aucune donnÇe dÇtaillÇe sur le mode d'Çcran.","liste, mode, VESA, vidÇo",DOS,"GPLv2 avec le code source, aucune garantie",79ddbe99a3f0b08a6323d4dae5792b7abd80201196ac36202363658659ceaa6b
localcfg,,localcfg,"Outil de configuration des prÇfÇrences locales",,country.sys,DOS,"Licence BSD simplifiÇe (Ö 2 clauses)",45352cef39e298a2b854a1a6c35e32eff61b9f06933ff0f84955fac6ad94d7e2
localize,,Localize,"Traduire des textes",,"freedos localiser batch",dos,"Licence publique gÇnÇrale GNU, version 2",af051b5675b53f552ea4c8711fef7e6f18f0b06a65fdc71388601af7a0b99381
lpq1,,LPQ1,"lpq1 est un compresseur de fichiers et un crÇateur d'archives",,"compresseur, lpq1",DOS,"Licence publique gÇnÇrale GNU, version 3",ec03a189150aebd8e39164a4d2238bd9fc7de778d78ecdcc857d5c7cc59171e6
lptdrv,,"LPT Driver","Un outil pour contrìler les appareils connectÇs Ö LPT manuellement ou en fonction du temps",,LPT,DOS,"Licence BSD simplifiÇe (Ö 2 clauses)",1b9d026dcd6a60f530c2925405b64538dee445c2f3a8e269184e297c32944e68
lsppp,,LSppp,"Un petit pilote de paquet PPP pour DOS",,paquet,DOS,"Licence publique gÇnÇrale GNU, version 2 ou ultÇrieure",4e366f6bc3f5374aa59b1780da9294ad5b28dd86ef23b0e20f174c76a381152f
lua,,Lua,"Lua est un langage de script incorporable",,lua,DOS,"Licence MIT",c8c6cd860edec736776bfa42e468a9324594b896b7be1a952b37b01656b6d56c
lynx,,Lynx,"Navigateur WWW textuel et graphique Lynx","Navigateur WWW textuel et graphique Lynx (portage DJGPP, comprend noise v0.6.3-bàta)","www, navigateur, Internet","DOS, FreeDOS","Licence publique gÇnÇrale GNU, version 2",5942fa4828c61aac25c4e820821e6a0eceb5b5dedd79ac9e8813031c1a385bf9
lzip,,Lzip,"Compresseur de donnÇes basÇ sur LZMA","Un compresseur de donnÇes basÇ sur l'algorithme LZMA.","command.com, shell, interactif",DOS,"Licence publique gÇnÇrale GNU, version 3",224a43494e7adb6ec8a2074037da0e4e37c121a219987272440530d8e1adfecf
lzma,,"LZMA Utils","Fonctionne avec les fichiers compressÇs .lzma","Fonctionne avec les fichiers compressÇs .lzma (diffÇrent de 7-zip)",lzma,"DOS/DJGPP, Unix, Windows","Licence publique gÇnÇrale GNU, version 2",f12f446dfdb2b8d3d9cd093b8494bfce86f98f59abccdd9b6105324256ce6924
lzop,,lzop,"un compresseur similaire Ö gzip","un compresseur similaire Ö gzip, qui donne la prioritÇ Ö la vitesse plutìt qu'au taux de compression","lzop, compression",DOS,"Licence publique gÇnÇrale GNU, version 2",6fead55a0b3757acbc05e333384d3aad2c5021fddfe9fdb3b92870f097fc17bb
m2wat,,M2WAT,"TransfÇrer les rÇglages de MTCP.CFG vers WATTCP.CFG","Utilitaire pour transfÇrer les rÇglages de MTCP.CFG vers WATTCP.CFG.","mTCP, WATTCP, DHCP","DOS (Borland C 3.1, DJGPP 2.03)","Licence publique gÇnÇrale GNU, version 2 ou ultÇrieure",3fda148cbee75641f6be47b00f8f6538a4598a3de4cbf002d813e3e768a903d6
magnetic,,Magnetic,"Un interprÇteur pour les aventures Magnetic Scrolls.",,,"DOS, Amiga, MacOS X, Java, Maemo5, OpenPandora, Windows, GNU/Linux","Licence publique gÇnÇrale GNU, version 2",e4b38cf19ee4333b398f38d179ab5d504090dec0665e2c58015e1fd124c523ec
marauder,,Marauder,"Jeu de tir dans l'espace",,,DOS,"Gratuit avec le code source",5f605852225b84209202eefa1e70de6fcf2626caf294a9859de0ea649f9f6e96
mbedit,,"mbedit - Multi platform editor","êditeur de texte en plein Çcran avec option macro","mbedit est un Çditeur de texte en plein Çcran avec option macro, calculateur en ligne, tampon de l'historique des commandes, Çditeur hexadÇcimal et de nombreuses autres fonctionnalitÇs.","Çditeur,hexadÇcimal",DOS,"Licence publique gÇnÇrale GNU, version 2",cc164787592854a327fb961b004936f3136c815fb509dc800a3eb9b33060cbc5
mbldr,,"Master Boot LoaDeR","Chargeur d'amoráage MBR qui tient sur un seul secteur",,MBR,dos,"Licence BSD (Ö 2 clauses) modifiÇe",ec1f3ddf2bfc802a1f75bcc4f9f1a8f1e1c9578b4b38d502046b97326a7370f2
